Thu, Oct 03, 2019
1:17:56 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
132.3100000	-3975.0000000	0.0004687	0.0004835	0.0004658	0.0004216	-0.0004662	-0.0004810	-0.0004632	-0.0004197	0.2021989	0.2364820	-0.3855072	-0.4185865	-0.2033999	-0.2379303	0.3829058	0.4179718
133.9600000	4167.0000000	0.0004580	0.0004725	0.0004551	0.0004120	-0.0004554	-0.0004701	-0.0004525	-0.0004101	0.1991649	0.2582999	0.4556555	0.3429883	-0.2002460	-0.2598933	-0.4543650	-0.3408001
135.2250000	122.2200012	0.0006247	0.0006446	0.0006212	0.0005595	-0.0006208	-0.0006408	-0.0006172	-0.0005564	0.2081583	0.2545309	0.0428356	-0.0291321	-0.2092107	-0.2559653	-0.0434283	0.0297994
136.5050000	-3973.0000000	0.0004435	0.0004576	0.0004408	0.0003988	-0.0004412	-0.0004552	-0.0004385	-0.0003970	0.2032914	0.2384821	-0.3642826	-0.3995792	-0.2044773	-0.2399077	0.3618325	0.3991224
138.0650000	4165.0000000	0.0004341	0.0004478	0.0004314	0.0003903	-0.0004317	-0.0004456	-0.0004290	-0.0003884	0.2003365	0.2592054	0.4358532	0.3243292	-0.2014162	-0.2608019	-0.4346964	-0.3222553
139.3200000	122.0899963	0.0005843	0.0006029	0.0005809	0.0005230	-0.0005804	-0.0005990	-0.0005769	-0.0005199	0.2083946	0.2550026	0.0427447	-0.0296412	-0.2094498	-0.2564403	-0.0433446	0.0302949
140.6150000	-3972.0000000	0.0004206	0.0004339	0.0004180	0.0003779	-0.0004184	-0.0004316	-0.0004158	-0.0003762	0.2042453	0.2402585	-0.3448730	-0.3822433	-0.2054295	-0.2416928	0.3425310	0.3818549
142.2350000	4165.0000000	0.0004115	0.0004245	0.0004089	0.0003697	-0.0004093	-0.0004224	-0.0004067	-0.0003680	0.2014165	0.2600265	0.4171731	0.3067363	-0.2024852	-0.2616114	-0.4161417	-0.3047974
143.5350000	122.0000000	0.0005457	0.0005632	0.0005429	0.0004887	-0.0005425	-0.0005600	-0.0005394	-0.0004860	0.2086282	0.2554602	0.0427015	-0.0301238	-0.2096912	-0.2569045	-0.0432842	0.0307717
144.8200000	-3972.0000000	0.0003988	0.0004114	0.0003964	0.0003581	-0.0003968	-0.0004093	-0.0003943	-0.0003565	0.2051176	0.2419158	-0.3264979	-0.3658891	-0.2062859	-0.2433373	0.3243049	0.3655907
146.3700000	4165.0000000	0.0003906	0.0004029	0.0003882	0.0003507	-0.0003885	-0.0004010	-0.0003860	-0.0003491	0.2023742	0.2607602	0.3999362	0.2905026	-0.2034394	-0.2623378	-0.3989648	-0.2886302
147.6650000	122.0000000	0.0005112	0.0005276	0.0005086	0.0004577	-0.0005084	-0.0005248	-0.0005055	-0.0004553	0.2088533	0.2559118	0.0426673	-0.0305914	-0.2099232	-0.2573681	-0.0432523	0.0312186
149.0250000	-3971.0000000	0.0003782	0.0003901	0.0003759	0.0003394	-0.0003764	-0.0003882	-0.0003740	-0.0003379	0.2059036	0.2434553	-0.3091558	-0.3504932	-0.2070773	-0.2448848	0.3070516	0.3502128
150.7150000	4164.0000000	0.0003701	0.0003817	0.0003678	0.0003321	-0.0003681	-0.0003799	-0.0003657	-0.0003305	0.2032889	0.2614501	0.3830366	0.2746041	-0.2043599	-0.2630187	-0.3821344	-0.2727839
152.1200000	122.0899963	0.0004770	0.0004922	0.0004746	0.0004270	-0.0004744	-0.0004896	-0.0004717	-0.0004249	0.2091046	0.2563839	0.0426455	-0.0310306	-0.2101812	-0.2578386	-0.0432329	0.0316465
153.4000000	-3971.0000000	0.0003584	0.0003696	0.0003562	0.0003215	-0.0003567	-0.0003679	-0.0003544	-0.0003201	0.2066554	0.2448972	-0.2925490	-0.3357217	-0.2078172	-0.2463142	0.2905677	0.3355244
154.9550000	4163.0000000	0.0003513	0.0003623	0.0003492	0.0003151	-0.0003496	-0.0003607	-0.0003473	-0.0003138	0.2041139	0.2620420	0.3676898	0.2602394	-0.2051817	-0.2635868	-0.3669330	-0.2586268
156.2050000	122.1699982	0.0004491	0.0004634	0.0004468	0.0004018	-0.0004465	-0.0004607	-0.0004438	-0.0003996	0.2093593	0.2568112	0.0426134	-0.0314079	-0.2104185	-0.2582351	-0.0431807	0.0319915
157.5500000	-3970.0000000	0.0003412	0.0003519	0.0003392	0.0003059	-0.0003397	-0.0003503	-0.0003375	-0.0003047	0.2073143	0.2461369	-0.2782361	-0.3230120	-0.2084531	-0.2475232	0.2763481	0.3228038
159.1500000	4164.0000000	0.0003344	0.0003449	0.0003325	0.0002999	-0.0003329	-0.0003435	-0.0003308	-0.0002987	0.2048735	0.2625843	0.3539161	0.2473694	-0.2058989	-0.2640733	-0.3532695	-0.2459115
160.4650000	121.9899979	0.0004226	0.0004360	0.0004205	0.0003782	-0.0004205	-0.0004339	-0.0004181	-0.0003764	0.2096345	0.2572455	0.0425672	-0.0317854	-0.2106477	-0.2586197	-0.0431219	0.0323090
161.8600000	-3970.0000000	0.0003246	0.0003347	0.0003227	0.0002909	-0.0003232	-0.0003333	-0.0003211	-0.0002898	0.2079702	0.2473573	-0.2644087	-0.3107640	-0.2090358	-0.2486612	0.2626906	0.3106498
163.4650000	4163.0000000	0.0003184	0.0003283	0.0003164	0.0002853	-0.0003169	-0.0003270	-0.0003149	-0.0002842	0.2056159	0.2631214	0.3407632	0.2350671	-0.2065695	-0.2645136	-0.3402068	-0.2337943
